"Step","test-model_051324 - Train RMSE (meters)","test-model_051324 - Train RMSE (meters)__MIN","test-model_051324 - Train RMSE (meters)__MAX"
"706","13234.019052882355","13234.019052882355","13234.019052882355"
"710","9367.763587474527","9367.763587474527","9367.763587474527"
"712","7035.792896496879","7035.792896496879","7035.792896496879"
"720","9935.853377860605","9935.853377860605","9935.853377860605"
"722","10086.132682962361","10086.132682962361","10086.132682962361"
"724","13333.729897005886","13333.729897005886","13333.729897005886"
"726","11031.139081445946","11031.139081445946","11031.139081445946"
"730","10886.811649184836","10886.811649184836","10886.811649184836"
"734","13403.913529962103","13403.913529962103","13403.913529962103"
"736","4571.156220114358","4571.156220114358","4571.156220114358"
"740","7966.372565370061","7966.372565370061","7966.372565370061"
"742","13135.157696285904","13135.157696285904","13135.157696285904"
"744","8086.7903255066085","8086.7903255066085","8086.7903255066085"
"746","12233.358328756494","12233.358328756494","12233.358328756494"
"752","14256.685395304667","14256.685395304667","14256.685395304667"
"754","6619.490032592225","6619.490032592225","6619.490032592225"
"756","10503.98973323265","10503.98973323265","10503.98973323265"
"758","17381.334563443623","17381.334563443623","17381.334563443623"
"764","10472.111518121823","10472.111518121823","10472.111518121823"
"766","13494.012564524784","13494.012564524784","13494.012564524784"
"770","8625.075726936831","8625.075726936831","8625.075726936831"
"776","9580.78550941025","9580.78550941025","9580.78550941025"
"778","11630.944444679973","11630.944444679973","11630.944444679973"
"780","10649.514807810949","10649.514807810949","10649.514807810949"
"782","8189.356557002418","8189.356557002418","8189.356557002418"
"784","10835.471431332426","10835.471431332426","10835.471431332426"
"786","7021.144386517246","7021.144386517246","7021.144386517246"
"791","11831.135294943108","11831.135294943108","11831.135294943108"
"795","10512.589287123552","10512.589287123552","10512.589287123552"
"797","9494.219903824844","9494.219903824844","9494.219903824844"
"801","10012.528796398648","10012.528796398648","10012.528796398648"
"803","10006.31371501054","10006.31371501054","10006.31371501054"
"809","6306.055934403865","6306.055934403865","6306.055934403865"
"811","10319.07190089957","10319.07190089957","10319.07190089957"
"813","11093.162735989772","11093.162735989772","11093.162735989772"
"815","5402.544085469708","5402.544085469708","5402.544085469708"
"819","7645.80266844155","7645.80266844155","7645.80266844155"
"821","13249.96854670408","13249.96854670408","13249.96854670408"
"823","8609.212662677326","8609.212662677326","8609.212662677326"
"825","13514.472162549908","13514.472162549908","13514.472162549908"
"829","9808.86909709102","9808.86909709102","9808.86909709102"
"831","6585.00174213175","6585.00174213175","6585.00174213175"
"835","13597.542244757375","13597.542244757375","13597.542244757375"
"843","8955.004909137038","8955.004909137038","8955.004909137038"
"847","10654.846792600896","10654.846792600896","10654.846792600896"
"849","8321.75157307204","8321.75157307204","8321.75157307204"
"851","9552.704475089298","9552.704475089298","9552.704475089298"
"853","11338.418427502744","11338.418427502744","11338.418427502744"
"855","7432.814316170971","7432.814316170971","7432.814316170971"
"857","7292.757134414357","7292.757134414357","7292.757134414357"
"859","7942.9984534803725","7942.9984534803725","7942.9984534803725"
"861","6958.04250608127","6958.04250608127","6958.04250608127"
"871","8226.840660268721","8226.840660268721","8226.840660268721"
"873","13192.867831794469","13192.867831794469","13192.867831794469"
"881","11292.505498229846","11292.505498229846","11292.505498229846"
"883","10325.249968636374","10325.249968636374","10325.249968636374"
"885","4601.629344150284","4601.629344150284","4601.629344150284"
"887","9349.157318859514","9349.157318859514","9349.157318859514"
"889","11763.592690155881","11763.592690155881","11763.592690155881"
"891","6744.851930759004","6744.851930759004","6744.851930759004"
"893","7695.047983958131","7695.047983958131","7695.047983958131"
"895","11787.978600891955","11787.978600891955","11787.978600891955"
"901","7955.514724929759","7955.514724929759","7955.514724929759"
"903","8932.398840851642","8932.398840851642","8932.398840851642"
"905","11169.133950471843","11169.133950471843","11169.133950471843"
"907","6853.617448069391","6853.617448069391","6853.617448069391"
"909","11415.441807013975","11415.441807013975","11415.441807013975"
"911","11388.698294577378","11388.698294577378","11388.698294577378"
"913","8647.132837155086","8647.132837155086","8647.132837155086"
"915","6679.061057179354","6679.061057179354","6679.061057179354"
"917","11757.043959127666","11757.043959127666","11757.043959127666"
"919","11437.529954714713","11437.529954714713","11437.529954714713"
"921","7976.028260097734","7976.028260097734","7976.028260097734"
"923","11536.50506256261","11536.50506256261","11536.50506256261"
"925","7888.812999591652","7888.812999591652","7888.812999591652"
"927","12014.953673896902","12014.953673896902","12014.953673896902"
"929","10140.135672449776","10140.135672449776","10140.135672449776"
"931","6800.030381471418","6800.030381471418","6800.030381471418"
"935","8500.763760641537","8500.763760641537","8500.763760641537"
