"Step","test-model_062021 - Train RMSE (meters)","test-model_062021 - Train RMSE (meters)__MIN","test-model_062021 - Train RMSE (meters)__MAX"
"480","6588.268324618676","6588.268324618676","6588.268324618676"
"482","9431.127379816657","9431.127379816657","9431.127379816657"
"484","10464.306927589256","10464.306927589256","10464.306927589256"
"486","9139.640298606004","9139.640298606004","9139.640298606004"
"488","5313.684107143751","5313.684107143751","5313.684107143751"
"490","11611.39383129012","11611.39383129012","11611.39383129012"
"494","9692.665384242884","9692.665384242884","9692.665384242884"
"496","10865.091699036828","10865.091699036828","10865.091699036828"
"498","9731.316687637787","9731.316687637787","9731.316687637787"
"500","6610.613830836843","6610.613830836843","6610.613830836843"
"502","11615.2349497383","11615.2349497383","11615.2349497383"
"504","8951.518142598285","8951.518142598285","8951.518142598285"
"506","7753.714071433786","7753.714071433786","7753.714071433786"
"508","9051.043734244933","9051.043734244933","9051.043734244933"
"510","11976.947855364268","11976.947855364268","11976.947855364268"
"512","7302.059986187828","7302.059986187828","7302.059986187828"
"514","8359.231680238623","8359.231680238623","8359.231680238623"
"516","6992.953807246753","6992.953807246753","6992.953807246753"
"518","15188.944053286174","15188.944053286174","15188.944053286174"
"520","12104.345446178406","12104.345446178406","12104.345446178406"
"522","7929.778826709122","7929.778826709122","7929.778826709122"
"524","8815.385521925686","8815.385521925686","8815.385521925686"
"528","11600.020078115516","11600.020078115516","11600.020078115516"
"530","8835.145302631741","8835.145302631741","8835.145302631741"
"532","9206.712266513048","9206.712266513048","9206.712266513048"
"536","6576.809495604954","6576.809495604954","6576.809495604954"
"540","9762.386547997283","9762.386547997283","9762.386547997283"
"542","8250.507657008638","8250.507657008638","8250.507657008638"
"544","7209.077870132933","7209.077870132933","7209.077870132933"
"546","11094.924434767268","11094.924434767268","11094.924434767268"
"548","8451.470712059994","8451.470712059994","8451.470712059994"
"550","8492.949155957362","8492.949155957362","8492.949155957362"
"552","8093.594965683443","8093.594965683443","8093.594965683443"
"554","10165.27567139243","10165.27567139243","10165.27567139243"
"556","7390.198822315037","7390.198822315037","7390.198822315037"
"558","12275.935413589692","12275.935413589692","12275.935413589692"
"560","8541.982962792084","8541.982962792084","8541.982962792084"
"562","8224.07110006865","8224.07110006865","8224.07110006865"
"564","12999.081817626538","12999.081817626538","12999.081817626538"
"566","13880.443845352862","13880.443845352862","13880.443845352862"
"568","6503.565323975594","6503.565323975594","6503.565323975594"
"572","5986.875723705254","5986.875723705254","5986.875723705254"
"574","4820.065892370636","4820.065892370636","4820.065892370636"
"576","11069.657935670106","11069.657935670106","11069.657935670106"
"580","7096.398216367489","7096.398216367489","7096.398216367489"
"582","8979.403239686564","8979.403239686564","8979.403239686564"
"584","8626.980429794632","8626.980429794632","8626.980429794632"
"586","8204.49635986437","8204.49635986437","8204.49635986437"
"588","8366.554955829697","8366.554955829697","8366.554955829697"
"590","6895.45060639044","6895.45060639044","6895.45060639044"
"596","8473.43914658722","8473.43914658722","8473.43914658722"
