"Step","test-model_082337 - Train RMSE (meters)","test-model_082337 - Train RMSE (meters)__MIN","test-model_082337 - Train RMSE (meters)__MAX","test-model_080952 - Train RMSE (meters)","test-model_080952 - Train RMSE (meters)__MIN","test-model_080952 - Train RMSE (meters)__MAX","test-model_060949 - Train RMSE (meters)","test-model_060949 - Train RMSE (meters)__MIN","test-model_060949 - Train RMSE (meters)__MAX","test-model_051324 - Train RMSE (meters)","test-model_051324 - Train RMSE (meters)__MIN","test-model_051324 - Train RMSE (meters)__MAX"
"151","7344.411454949837","7344.411454949837","7344.411454949837","6783.2672441232635","6783.2672441232635","6783.2672441232635","3228.6171548136554","3228.6171548136554","3228.6171548136554","14783.656499026254","14783.656499026254","14783.656499026254"
"153","8840.179652744671","8840.179652744671","8840.179652744671","5290.617191694236","5290.617191694236","5290.617191694236","1270.950624324548","1270.950624324548","1270.950624324548","10561.674683960957","10561.674683960957","10561.674683960957"
"155","10426.041898188438","10426.041898188438","10426.041898188438","7107.328602471545","7107.328602471545","7107.328602471545","1316.2102312798506","1316.2102312798506","1316.2102312798506","12792.582032859664","12792.582032859664","12792.582032859664"
"157","9927.445297340266","9927.445297340266","9927.445297340266","","","","","","","","",""
"159","10085.607309055835","10085.607309055835","10085.607309055835","8180.38331199303","8180.38331199303","8180.38331199303","2972.12897798906","2972.12897798906","2972.12897798906","6556.1268150313845","6556.1268150313845","6556.1268150313845"
"161","7628.577299980672","7628.577299980672","7628.577299980672","","","","","","","","",""
"163","7251.57661395517","7251.57661395517","7251.57661395517","6582.097808773033","6582.097808773033","6582.097808773033","2812.785293096609","2812.785293096609","2812.785293096609","11325.08493606346","11325.08493606346","11325.08493606346"
"165","7696.3650520948","7696.3650520948","7696.3650520948","6417.028152720321","6417.028152720321","6417.028152720321","3162.3312841049355","3162.3312841049355","3162.3312841049355","18898.35539630845","18898.35539630845","18898.35539630845"
"167","10288.260901528969","10288.260901528969","10288.260901528969","5567.245152485686","5567.245152485686","5567.245152485686","2240.7788959360737","2240.7788959360737","2240.7788959360737","9224.139109297028","9224.139109297028","9224.139109297028"
"169","8396.636059977725","8396.636059977725","8396.636059977725","5691.367532131059","5691.367532131059","5691.367532131059","3181.205860311369","3181.205860311369","3181.205860311369","15319.140804290868","15319.140804290868","15319.140804290868"
"171","9386.85017913233","9386.85017913233","9386.85017913233","5667.668214345277","5667.668214345277","5667.668214345277","1851.9019930285572","1851.9019930285572","1851.9019930285572","17241.02079577785","17241.02079577785","17241.02079577785"
"173","7927.873150197546","7927.873150197546","7927.873150197546","6488.956533403119","6488.956533403119","6488.956533403119","2657.747127260491","2657.747127260491","2657.747127260491","14033.164048853912","14033.164048853912","14033.164048853912"
"175","4917.524928275585","4917.524928275585","4917.524928275585","6497.929665162234","6497.929665162234","6497.929665162234","3517.3898082017317","3517.3898082017317","3517.3898082017317","12735.732304606388","12735.732304606388","12735.732304606388"
"177","10832.833437512163","10832.833437512163","10832.833437512163","6133.2469227481115","6133.2469227481115","6133.2469227481115","1132.8023055045394","1132.8023055045394","1132.8023055045394","5705.3762721716","5705.3762721716","5705.3762721716"
"179","6553.063874694081","6553.063874694081","6553.063874694081","6873.282087875322","6873.282087875322","6873.282087875322","3195.874684690868","3195.874684690868","3195.874684690868","11439.655455222597","11439.655455222597","11439.655455222597"
"181","7385.715136036503","7385.715136036503","7385.715136036503","6783.768744245099","6783.768744245099","6783.768744245099","2761.568407987185","2761.568407987185","2761.568407987185","14696.902248414897","14696.902248414897","14696.902248414897"
"183","8301.906374804776","8301.906374804776","8301.906374804776","5999.444776912743","5999.444776912743","5999.444776912743","3333.393583150588","3333.393583150588","3333.393583150588","15763.85218895642","15763.85218895642","15763.85218895642"
"185","3186.7373339463475","3186.7373339463475","3186.7373339463475","","","","","","","","",""
"187","5004.550532033766","5004.550532033766","5004.550532033766","7224.769988573122","7224.769988573122","7224.769988573122","2179.1325344624374","2179.1325344624374","2179.1325344624374","9581.911492950358","9581.911492950358","9581.911492950358"
"189","8596.661854649303","8596.661854649303","8596.661854649303","4960.140254321903","4960.140254321903","4960.140254321903","2803.9955996490403","2803.9955996490403","2803.9955996490403","14134.349800541147","14134.349800541147","14134.349800541147"
"191","5828.704416553679","5828.704416553679","5828.704416553679","7051.676009194589","7051.676009194589","7051.676009194589","3839.825634996094","3839.825634996094","3839.825634996094","12125.95290932626","12125.95290932626","12125.95290932626"
"193","5969.294947567816","5969.294947567816","5969.294947567816","5509.236469571908","5509.236469571908","5509.236469571908","2894.787369077791","2894.787369077791","2894.787369077791","14138.763052241537","14138.763052241537","14138.763052241537"
"195","7262.148281647955","7262.148281647955","7262.148281647955","6763.320177866683","6763.320177866683","6763.320177866683","2062.659694529182","2062.659694529182","2062.659694529182","11828.945600095121","11828.945600095121","11828.945600095121"
"197","9519.60180207141","9519.60180207141","9519.60180207141","4619.687070239484","4619.687070239484","4619.687070239484","4196.561638047063","4196.561638047063","4196.561638047063","13412.18604425193","13412.18604425193","13412.18604425193"
"199","6575.347948476904","6575.347948476904","6575.347948476904","6428.625990242493","6428.625990242493","6428.625990242493","3504.0514436406356","3504.0514436406356","3504.0514436406356","12549.12925982311","12549.12925982311","12549.12925982311"
"201","8405.168541756437","8405.168541756437","8405.168541756437","5293.660136319197","5293.660136319197","5293.660136319197","4491.608292100655","4491.608292100655","4491.608292100655","12366.3094956538","12366.3094956538","12366.3094956538"
"203","5148.561699024743","5148.561699024743","5148.561699024743","3150.374155303039","3150.374155303039","3150.374155303039","2971.07831101841","2971.07831101841","2971.07831101841","11895.642659295416","11895.642659295416","11895.642659295416"
"205","6108.697507323241","6108.697507323241","6108.697507323241","6521.32354108435","6521.32354108435","6521.32354108435","2887.9114250095545","2887.9114250095545","2887.9114250095545","9565.725979152052","9565.725979152052","9565.725979152052"
"207","10203.508028140239","10203.508028140239","10203.508028140239","6186.680961114851","6186.680961114851","6186.680961114851","2164.6360608147793","2164.6360608147793","2164.6360608147793","14309.55085188143","14309.55085188143","14309.55085188143"
"209","13845.583137748892","13845.583137748892","13845.583137748892","4857.93344390683","4857.93344390683","4857.93344390683","3000.3344478545423","3000.3344478545423","3000.3344478545423","10719.157553173187","10719.157553173187","10719.157553173187"
"211","8598.437331412979","8598.437331412979","8598.437331412979","5880.893105391477","5880.893105391477","5880.893105391477","1925.864908440158","1925.864908440158","1925.864908440158","12468.016715226091","12468.016715226091","12468.016715226091"
"213","7303.383042653696","7303.383042653696","7303.383042653696","","","","","","","","",""
"215","7891.098612555785","7891.098612555785","7891.098612555785","6760.9684801725325","6760.9684801725325","6760.9684801725325","2236.539089463588","2236.539089463588","2236.539089463588","11197.779573296277","11197.779573296277","11197.779573296277"
"217","6505.995406300764","6505.995406300764","6505.995406300764","4439.664205491513","4439.664205491513","4439.664205491513","4624.43236141046","4624.43236141046","4624.43236141046","14200.780223849128","14200.780223849128","14200.780223849128"
"219","5840.698485833174","5840.698485833174","5840.698485833174","5919.3423851869975","5919.3423851869975","5919.3423851869975","2969.4656714083235","2969.4656714083235","2969.4656714083235","12969.309323670182","12969.309323670182","12969.309323670182"
"221","9983.454666345035","9983.454666345035","9983.454666345035","","","","","","","","",""
"223","10001.474510202726","10001.474510202726","10001.474510202726","9166.511982277345","9166.511982277345","9166.511982277345","2124.416095788433","2124.416095788433","2124.416095788433","16025.132497397426","16025.132497397426","16025.132497397426"
"225","7742.183096352258","7742.183096352258","7742.183096352258","6135.162097807166","6135.162097807166","6135.162097807166","3260.218338017496","3260.218338017496","3260.218338017496","13108.764325037047","13108.764325037047","13108.764325037047"
"227","9070.842454724916","9070.842454724916","9070.842454724916","","","","","","","","",""
"229","8086.561464569891","8086.561464569891","8086.561464569891","5539.87840849547","5539.87840849547","5539.87840849547","2529.5849492455322","2529.5849492455322","2529.5849492455322","11592.722392232934","11592.722392232934","11592.722392232934"
"231","6825.793778367719","6825.793778367719","6825.793778367719","","","","","","","","",""
"233","9048.179954008308","9048.179954008308","9048.179954008308","7095.7060818360205","7095.7060818360205","7095.7060818360205","2898.3903659987895","2898.3903659987895","2898.3903659987895","7293.689628815395","7293.689628815395","7293.689628815395"
"235","10115.678004472727","10115.678004472727","10115.678004472727","6337.165967426055","6337.165967426055","6337.165967426055","2133.308897834647","2133.308897834647","2133.308897834647","11644.52660223642","11644.52660223642","11644.52660223642"
"237","9145.44003161615","9145.44003161615","9145.44003161615","5923.661367683444","5923.661367683444","5923.661367683444","2267.8200184472867","2267.8200184472867","2267.8200184472867","11109.994626906611","11109.994626906611","11109.994626906611"
"239","7989.797658088893","7989.797658088893","7989.797658088893","","","","","","","","",""
"241","7619.098130268737","7619.098130268737","7619.098130268737","9668.44068203822","9668.44068203822","9668.44068203822","2708.5377848311555","2708.5377848311555","2708.5377848311555","9748.160041911922","9748.160041911922","9748.160041911922"
